timestamp,scenario,intersection_id,direction,density,queue,avg_speed,flow,capacity,phase
205.0,normal,C,N,0.06,0.0,13.67,20.0,50.0,0.0
205.0,normal,C,S,0.04,0.0,13.18,16.0,50.0,0.0
205.0,normal,C,E,0.12,4.0,3.48,2.0,50.0,0.0
205.0,normal,C,W,0.12,3.0,3.99,4.0,50.0,0.0
210.0,normal,C,N,0.08,0.0,13.97,20.0,50.0,0.0
210.0,normal,C,S,0.02,0.0,12.91,18.0,50.0,0.0
210.0,normal,C,E,0.14,5.0,2.75,2.0,50.0,0.0
210.0,normal,C,W,0.16,4.0,4.77,0.0,50.0,0.0
215.0,normal,C,N,0.06,0.0,13.33,22.0,50.0,0.0
215.0,normal,C,S,0.04,0.0,14.07,18.0,50.0,0.0
215.0,normal,C,E,0.16,5.0,3.54,0.0,50.0,0.0
215.0,normal,C,W,0.18,5.0,4.98,0.0,50.0,0.0
220.0,normal,C,N,0.04,0.0,13.51,22.0,50.0,0.0
220.0,normal,C,S,0.06,0.0,14.01,16.0,50.0,0.0
220.0,normal,C,E,0.18,6.0,3.87,0.0,50.0,0.0
220.0,normal,C,W,0.2,6.0,3.44,0.0,50.0,0.0
225.0,normal,C,N,0.04,0.0,15.07,20.0,50.0,1.0
225.0,normal,C,S,0.06,0.0,10.13,12.0,50.0,1.0
225.0,normal,C,E,0.2,8.0,1.45,0.0,50.0,1.0
225.0,normal,C,W,0.22,8.0,2.0,0.0,50.0,1.0
230.0,normal,C,N,0.04,0.0,11.71,14.0,50.0,2.0
230.0,normal,C,S,0.08,1.0,7.95,6.0,50.0,2.0
230.0,normal,C,E,0.16,3.0,2.52,4.0,50.0,2.0
230.0,normal,C,W,0.18,6.0,2.15,4.0,50.0,2.0
235.0,normal,C,N,0.08,1.0,7.31,10.0,50.0,2.0
235.0,normal,C,S,0.08,3.0,3.55,6.0,50.0,2.0
235.0,normal,C,E,0.16,0.0,6.06,8.0,50.0,2.0
235.0,normal,C,W,0.16,1.0,5.06,8.0,50.0,2.0
240.0,normal,C,N,0.08,2.0,6.94,8.0,50.0,2.0
240.0,normal,C,S,0.1,3.0,4.14,4.0,50.0,2.0
240.0,normal,C,E,0.1,0.0,10.59,14.0,50.0,2.0
240.0,normal,C,W,0.12,0.0,8.59,14.0,50.0,2.0
245.0,normal,C,N,0.12,2.0,7.09,8.0,50.0,2.0
245.0,normal,C,S,0.12,4.0,3.35,2.0,50.0,2.0
245.0,normal,C,E,0.08,0.0,14.04,20.0,50.0,2.0
245.0,normal,C,W,0.08,0.0,11.11,18.0,50.0,2.0
250.0,normal,C,N,0.14,3.0,4.61,6.0,50.0,2.0
